Manufacturer,Model,Description,Transmission,Engine Capacity,Fuel Type,Electric energy consumption Miles/kWh,wh/km,Maximum range (Km),Maximum range (Miles),Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Fuel Cost 12000 Miles,Electricity cost,Total cost / 12000 miles,Euro Standard,Noise Level dB(A),Emissions CO [mg/km],THC Emissions [mg/km],Emissions NOx [mg/km],THC + NOx Emissions [mg/km],Particulates [No.] [mg/km],,,,,,,
KIA,cee'd SW,'GT-Line S' 1.6 CRDi 134bhp ISG,M6,1582,Diesel,,,,,4.4,3.6,3.9,64.2,78.5,72.4,102,£927,,£927,6,74.0,293,,47,105,0.15,,,,,,,
KIA,Optima 4-door,'2' 1.7 CRDi 139bhp ISG,M6,1685,Diesel,,,,,5.1,3.7,4.2,55.4,76.3,67.3,110,£997,,£997,6,71.0,204,,22,75,0.43,,,,,,,
KIA,Optima 4-door,3' 1.7 CRDi 139bhp ISG,M6,1685,Diesel,,,,,5.1,3.7,4.2,55.4,76.3,67.3,110,"£1,045",,"£1,045",6,71.0,204,,22,75,0.43,,,,,,,
KIA,pro_cee'd,'2' 1.6 CRDi 134bhp DCT ISG,DCT7,1582,Diesel,,,,,4.4,3.7,3.9,64.2,76.3,72.4,103,£927,,£927,6,72.0,199,,36,72,0.25,,,,,,,
KIA,pro_cee'd,'GT-Line' 1.6 CRDi 134bhp DCT ISG,DCT7,1582,Diesel,,,,,4.4,3.7,3.9,64.2,76.3,72.4,103,£927,,£927,6,72.0,199,,36,72,0.25,,,,,,,
KIA,pro_cee'd,'GT-Line' 1.6 CRDi 134bhp ISG,M6,1582,Diesel,,,,,4.4,3.6,3.9,64.2,78.5,72.4,102,£927,,£927,6,74.0,293,,47,105,0.15,,,,,,,
KIA,pro_cee'd,'GT-Line S' 1.6 CRDi 134bhp DCT ISG,DCT7,1582,Diesel,,,,,4.4,3.7,3.9,64.2,76.3,72.4,103,£927,,£927,6,72.0,199,,36,72,0.25,,,,,,,
KIA,pro_cee'd,'GT-Line S' 1.6 CRDi 134bhp ISG,M6,1582,Diesel,,,,,4.4,3.6,3.9,64.2,78.5,72.4,102,£927,,£927,6,74.0,293,,47,105,0.15,,,,,,,
LAND ROVER,Range Rover Evoque 16MY,2.0L TD4 (150PS) Coupé Manual 2WD,6MT,1999,Diesel,,,,,4.9,3.7,4.2,57.7,76.4,67.3,109,£997,,£997,6,71.0,339,,45,62,0.00,,,,,,,
MAZDA,CX-3,1.5 SKYACTIV-D (105PS) 5 door 2WD,M6,1499,Diesel,,,,,4.4,3.8,4.0,64.2,74.3,70.6,105,£950,,£950,6,69.3,251,,57,84,0.17,,,,,,,
MAZDA,Mazda3 4 door,2.2 SKYACTIV-D (150PS),M6,2191,Diesel,,,,,4.7,3.5,3.9,60.1,80.7,72.4,104,£927,,£927,6,69.0,422,,52,96,0.35,,,,,,,
MAZDA,Mazda3 5 door,2.2 SKYACTIV-D (150PS),M6,2191,Diesel,,,,,4.9,3.6,4.1,57.6,78.5,68.9,107,£974,,£974,6,69.0,422,,52,96,0.35,,,,,,,
MAZDA,Mazda6 Saloon,2.2 SKYACTIV-D (150PS),M6,2191,Diesel,,,,,4.9,3.7,4.1,57.6,76.3,68.9,107,£974,,£974,6,69.5,244,,47,83,0.15,,,,,,,
MAZDA,Mazda6 Tourer,2.2 SKYACTIV-D (150PS),M6,2191,Diesel,,,,,5.0,3.8,4.2,56.5,74.3,67.3,110,£997,,£997,6,68.1,168,,51,82,0.03,,,,,,,
MERCEDES-BENZ,"A-Class, Model Year 2017",A180 d with 17'' rear wheels,A7,1461,Diesel,,,,,4.3,3.6,3.8,65.7,78.5,74.3,101,£903,,£903,6,68.0,269,,61,92,0.12,,,,,,,
MERCEDES-BENZ,"A-Class, Model Year 2017",A180 d with 17'' rear wheels,M6,1461,Diesel,,,,,4.5,3.6,3.9,62.8,78.5,72.4,102,£927,,£927,6,72.0,295,,64,102,0.20,,,,,,,
MERCEDES-BENZ,"A-Class, Model Year 2017",A180 d with 18'' rear wheels,A7,1461,Diesel,,,,,4.3,3.6,3.8,65.7,78.5,74.3,101,£903,,£903,6,68.0,269,,61,92,0.12,,,,,,,
MERCEDES-BENZ,"A-Class, Model Year 2017",A180 d with 18'' rear wheels,M6,1461,Diesel,,,,,4.5,3.6,3.9,62.8,78.5,72.4,102,£927,,£927,6,72.0,295,,64,102,0.20,,,,,,,
MERCEDES-BENZ,"A-Class, Model Year 2017",A200 d with 16'' rear wheels,M6,2143,Diesel,,,,,5.2,3.4,4.1,54.3,83.1,68.9,106,£974,,£974,6,72.0,266,,50,88,0.30,,,,,,,
MERCEDES-BENZ,"A-Class, Model Year 2017",A200 d with 17'' rear wheels,A7,2143,Diesel,,,,,4.8,3.6,4.0,58.9,78.5,70.6,103,£950,,£950,6,73.0,158,,65,86,1.16,,,,,,,
MERCEDES-BENZ,"A-Class, Model Year 2017",A200 d with 18'' rear wheels,A7,2143,Diesel,,,,,4.8,3.6,4.0,58.9,78.5,70.6,103,£950,,£950,6,73.0,158,,65,86,1.16,,,,,,,
MERCEDES-BENZ,"A-Class, Model Year 2017",A220 d with 18'' rear wheels,A7,2143,Diesel,,,,,5.0,3.6,4.1,56.5,78.5,68.9,107,£974,,£974,6,73.0,158,,65,86,1.16,,,,,,,
MERCEDES-BENZ,"A-Class, Model Year 2018",A 180 d with 17'' rear wheels,A7,1461,Diesel,,,,,4.3,3.6,3.8,65.7,78.5,74.3,101,£903,,£903,6,68.0,269,,61,92,0.12,,,,,,,
MERCEDES-BENZ,"A-Class, Model Year 2018",A 180 d with 17'' rear wheels,M6,1461,Diesel,,,,,4.5,3.6,3.9,62.8,78.5,72.4,102,£927,,£927,6,72.0,295,,64,102,0.20,,,,,,,
MERCEDES-BENZ,"A-Class, Model Year 2018",A 180 d with 18'' rear wheels,A7,1461,Diesel,,,,,4.3,3.6,3.8,65.7,78.5,74.3,101,£903,,£903,6,68.0,269,,61,92,0.12,,,,,,,
MERCEDES-BENZ,"A-Class, Model Year 2018",A 180 d with 18'' rear wheels,M6,1461,Diesel,,,,,4.5,3.6,3.9,62.8,78.5,72.4,102,£927,,£927,6,72.0,295,,64,102,0.20,,,,,,,
MERCEDES-BENZ,"A-Class, Model Year 2018",A 200 d with 16'' rear wheels,M6,2143,Diesel,,,,,5.2,3.4,4.1,54.3,83.1,68.9,106,£974,,£974,6,72.0,266,,50,88,0.30,,,,,,,
MERCEDES-BENZ,"A-Class, Model Year 2018",A 200 d with 17'' rear wheels,A7,2143,Diesel,,,,,4.8,3.6,4.0,58.9,78.5,70.6,103,£950,,£950,6,73.0,158,,65,86,1.16,,,,,,,
MERCEDES-BENZ,"A-Class, Model Year 2018",A 200 d with 18'' rear wheels,A7,2143,Diesel,,,,,4.8,3.6,4.0,58.9,78.5,70.6,103,£950,,£950,6,73.0,158,,65,86,1.16,,,,,,,
MERCEDES-BENZ,"A-Class, Model Year 2018",A 220 d with 18'' rear wheels,A7,2143,Diesel,,,,,5.0,3.6,4.1,56.5,78.5,68.9,107,£974,,£974,6,73.0,158,,65,86,1.16,,,,,,,
MERCEDES-BENZ,"B-Class, Model Year 2017",B 180 d with 16'' rear wheels,A7,1461,Diesel,,,,,4.4,3.7,4.0,64.2,76.4,70.6,104,£950,,£950,6,69.0,269,,61,92,0.12,,,,,,,
MERCEDES-BENZ,"B-Class, Model Year 2017",B 180 d with 16'' rear wheels,M6,1461,Diesel,,,,,4.6,3.6,4.0,61.4,78.5,70.6,104,£950,,£950,6,73.0,295,,64,102,0.20,,,,,,,
MERCEDES-BENZ,"B-Class, Model Year 2017",B 180 d with 17'' rear wheels,M6,1461,Diesel,,,,,4.6,3.8,4.1,61.4,74.3,68.9,106,£974,,£974,6,73.0,295,,64,102,0.20,,,,,,,
MERCEDES-BENZ,"B-Class, Model Year 2017",B 180 d with 17'' rear wheels,A7,1461,Diesel,,,,,4.4,3.9,4.1,64.2,72.4,68.9,107,£974,,£974,6,69.0,269,,61,92,0.12,,,,,,,
MERCEDES-BENZ,"B-Class, Model Year 2017",B 180 d with 18'' rear wheels,M6,1461,Diesel,,,,,4.6,3.8,4.1,61.4,74.3,68.9,106,£974,,£974,6,73.0,295,,64,102,0.20,,,,,,,
MERCEDES-BENZ,"B-Class, Model Year 2017",B 180 d with 18'' rear wheels,A7,1461,Diesel,,,,,4.4,3.9,4.1,64.2,72.4,68.9,107,£974,,£974,6,69.0,269,,61,92,0.12,,,,,,,
MERCEDES-BENZ,"B-Class, Model Year 2017",B 200 d with 16'' rear wheels,A7,2143,Diesel,,,,,4.7,3.5,4.0,60.1,80.7,70.6,104,£950,,£950,6,73.0,158,,65,86,1.16,,,,,,,
MERCEDES-BENZ,"B-Class, Model Year 2017",B 200 d with 16'' rear wheels,M6,2143,Diesel,,,,,5.3,3.5,4.2,53.3,80.7,67.3,109,£997,,£997,6,71.0,266,,50,88,0.30,,,,,,,
MERCEDES-BENZ,"B-Class, Model Year 2017",B 200 d with 17'' rear wheels,A7,2143,Diesel,,,,,4.7,3.6,4.1,60.1,78.5,68.9,106,£974,,£974,6,73.0,158,,65,86,1.16,,,,,,,
MERCEDES-BENZ,"B-Class, Model Year 2017",B 200 d with 18'' rear wheels,A7,2143,Diesel,,,,,4.7,3.6,4.1,60.1,78.5,68.9,106,£974,,£974,6,73.0,158,,65,86,1.16,,,,,,,
MERCEDES-BENZ,"B-Class, Model Year 2017",B 220 d with 16'' rear wheels,A7,2143,Diesel,,,,,4.9,3.6,4.1,57.7,78.5,68.9,107,£974,,£974,6,73.0,158,,65,86,1.16,,,,,,,
MERCEDES-BENZ,"B-Class, Model Year 2017",B 220 d with 17'' rear wheels,A7,2143,Diesel,,,,,4.9,3.7,4.2,57.7,76.4,67.3,108,£997,,£997,6,73.0,158,,65,86,1.16,,,,,,,
MERCEDES-BENZ,"B-Class, Model Year 2017",B 220 d with 18'' rear wheels,A7,2143,Diesel,,,,,4.9,3.7,4.2,57.7,76.4,67.3,108,£997,,£997,6,73.0,158,,65,86,1.16,,,,,,,
MERCEDES-BENZ,"B-Class, Model Year 2018",B 180 d with 16'' rear wheels,A7,1461,Diesel,,,,,4.4,3.7,4.0,64.2,76.4,70.6,104,£950,,£950,6,69.0,269,,61,92,0.12,,,,,,,
MERCEDES-BENZ,"B-Class, Model Year 2018",B 180 d with 16'' rear wheels,M6,1461,Diesel,,,,,4.6,3.6,4.0,61.4,78.5,70.6,104,£950,,£950,6,73.0,295,,64,102,0.20,,,,,,,
MERCEDES-BENZ,"B-Class, Model Year 2018",B 180 d with 17'' rear wheels,M6,1461,Diesel,,,,,4.6,3.8,4.1,61.4,74.3,68.9,106,£974,,£974,6,73.0,295,,64,102,0.20,,,,,,,
MERCEDES-BENZ,"B-Class, Model Year 2018",B 180 d with 17'' rear wheels,A7,1461,Diesel,,,,,4.4,3.9,4.1,64.2,72.4,68.9,107,£974,,£974,6,69.0,269,,61,92,0.12,,,,,,,
MERCEDES-BENZ,"B-Class, Model Year 2018",B 180 d with 18'' rear wheels,M6,1461,Diesel,,,,,4.6,3.8,4.1,61.4,74.3,68.9,106,£974,,£974,6,73.0,295,,64,102,0.20,,,,,,,
MERCEDES-BENZ,"B-Class, Model Year 2018",B 180 d with 18'' rear wheels,A7,1461,Diesel,,,,,4.4,3.9,4.1,64.2,72.4,68.9,107,£974,,£974,6,69.0,269,,61,92,0.12,,,,,,,
MERCEDES-BENZ,"B-Class, Model Year 2018",B 200 d with 16'' rear wheels,A7,2143,Diesel,,,,,4.7,3.5,4.0,60.1,80.7,70.6,104,£950,,£950,6,73.0,158,,65,86,1.16,,,,,,,
MERCEDES-BENZ,"B-Class, Model Year 2018",B 200 d with 16'' rear wheels,M6,2143,Diesel,,,,,5.3,3.5,4.2,53.3,80.7,67.3,109,£997,,£997,6,71.0,266,,50,88,0.30,,,,,,,
MERCEDES-BENZ,"B-Class, Model Year 2018",B 200 d with 17'' rear wheels,A7,2143,Diesel,,,,,4.7,3.6,4.1,60.1,78.5,68.9,106,£974,,£974,6,73.0,158,,65,86,1.16,,,,,,,
MERCEDES-BENZ,"B-Class, Model Year 2018",B 200 d with 18'' rear wheels,A7,2143,Diesel,,,,,4.7,3.6,4.1,60.1,78.5,68.9,106,£974,,£974,6,73.0,158,,65,86,1.16,,,,,,,
MERCEDES-BENZ,"B-Class, Model Year 2018",B 220 d with 16'' rear wheels,A7,2143,Diesel,,,,,4.9,3.6,4.1,57.7,78.5,68.9,107,£974,,£974,6,73.0,158,,65,86,1.16,,,,,,,
MERCEDES-BENZ,"B-Class, Model Year 2018",B 220 d with 17'' rear wheels,A7,2143,Diesel,,,,,4.9,3.7,4.2,57.7,76.4,67.3,108,£997,,£997,6,73.0,158,,65,86,1.16,,,,,,,
MERCEDES-BENZ,"B-Class, Model Year 2018",B 220 d with 18'' rear wheels,A7,2143,Diesel,,,,,4.9,3.7,4.2,57.7,76.4,67.3,108,£997,,£997,6,73.0,158,,65,86,1.16,,,,,,,
MERCEDES-BENZ,"C-Class Coupé, Model Year 2017",C220 d with 17'' rear wheels,A9,2143,Diesel,,,,,4.7,3.7,4.1,60.1,76.4,68.9,106,£974,,£974,6,71.0,190,,69,82,0.61,,,,,,,
MERCEDES-BENZ,"C-Class Coupé, Model Year 2017",C220 d with 17'' rear wheels,M6,2143,Diesel,,,,,5.0,3.6,4.1,56.5,78.5,68.9,106,£974,,£974,6,75.0,252,,61,79,0.65,,,,,,,
MERCEDES-BENZ,"C-Class Coupé, Model Year 2017",C220 d with 18'' rear wheels,A9,2143,Diesel,,,,,5.0,4.0,4.2,56.5,70.6,67.3,109,£997,,£997,6,71.0,190,,69,82,0.61,,,,,,,
MERCEDES-BENZ,"C-Class Coupé, Model Year 2017",C250 d with 17'' rear wheels,A9,2143,Diesel,,,,,4.8,3.8,4.2,58.9,74.3,67.3,109,£997,,£997,6,71.0,190,,69,81,0.61,,,,,,,
MERCEDES-BENZ,"C-Class Coupé, Model Year 2018",C 220 d with 17'' rear wheels,M6,2143,Diesel,,,,,5.0,3.6,4.1,56.5,78.5,68.9,106,£974,,£974,6,75.0,239,,77,92,2.00,,,,,,,
MERCEDES-BENZ,"C-Class Estate, Model Year 2017",C 200 d with 16'' rear wheels,M6,1598,Diesel,,,,,5.1,3.8,4.3,55.4,74.3,65.7,109,"£1,021",,"£1,021",6,73.0,446,,68,110,0.44,,,,,,,
MERCEDES-BENZ,"C-Class Estate, Model Year 2017",C 220 d with 16'' rear wheels,M6,2143,Diesel,,,,,5.2,3.7,4.3,54.3,76.4,65.7,108,"£1,021",,"£1,021",6,75.0,252,,61,79,0.65,,,,,,,
MERCEDES-BENZ,"C-Class Estate, Model Year 2017",C 220 d with 17'' rear wheels,M6,2143,Diesel,,,,,5.2,3.7,4.3,54.3,76.4,65.7,108,"£1,021",,"£1,021",6,75.0,252,,61,79,0.65,,,,,,,
MERCEDES-BENZ,"C-Class Estate, Model Year 2018",C 200 d with 16'' rear wheels,M6,1598,Diesel,,,,,5.1,3.8,4.3,55.4,74.3,65.7,109,"£1,021",,"£1,021",6,73.0,446,,68,110,0.44,,,,,,,
MERCEDES-BENZ,"C-Class Estate, Model Year 2018",C 220 d with 16'' rear wheels,M6,2143,Diesel,,,,,5.1,3.6,4.2,55.4,78.5,67.3,106,£997,,£997,6,75.0,239,,77,92,2.00,,,,,,,
MERCEDES-BENZ,"C-Class Estate, Model Year 2018",C 220 d with 17'' rear wheels,M6,2143,Diesel,,,,,5.2,3.7,4.3,54.3,76.4,65.7,108,"£1,021",,"£1,021",6,75.0,239,,77,92,2.00,,,,,,,
MERCEDES-BENZ,"C-Class Saloon, Model Year 2017",C 200 d with 16'' rear wheels,M6,1598,Diesel,,,,,4.7,3.5,3.9,60.1,80.7,72.4,101,£927,,£927,6,71.0,446,,68,110,0.44,,,,,,,
MERCEDES-BENZ,"C-Class Saloon, Model Year 2017",C 200 d with 17'' rear wheels,M6,1598,Diesel,,,,,4.7,3.5,3.9,60.1,80.7,72.4,101,£927,,£927,6,71.0,446,,68,110,0.44,,,,,,,
MERCEDES-BENZ,"C-Class Saloon, Model Year 2017",C 200 d with 18'' rear wheels,M6,1598,Diesel,,,,,4.8,3.6,4.1,58.9,78.5,68.9,106,£974,,£974,6,71.0,446,,68,110,0.44,,,,,,,
MERCEDES-BENZ,"C-Class Saloon, Model Year 2017",C 200 d with 19'' rear wheels,M6,1598,Diesel,,,,,4.9,3.7,4.2,57.7,76.4,67.3,110,£997,,£997,6,71.0,446,,68,110,0.44,,,,,,,
MERCEDES-BENZ,"C-Class Saloon, Model Year 2017",C 220 d with 16'' rear wheels,M6,2143,Diesel,,,,,4.8,3.4,4.0,58.9,83.1,70.6,103,£950,,£950,6,73.0,278,,62,81,0.32,,,,,,,
MERCEDES-BENZ,"C-Class Saloon, Model Year 2017",C 220 d with 16'' rear wheels,A7,2143,Diesel,,,,,5.3,3.6,4.3,53.3,78.5,65.7,109,"£1,021",,"£1,021",6,69.0,182,,56,69,1.12,,,,,,,
MERCEDES-BENZ,"C-Class Saloon, Model Year 2017",C 220 d with 17'' rear wheels,M6,2143,Diesel,,,,,4.8,3.4,4.0,58.9,83.1,70.6,103,£950,,£950,6,73.0,278,,62,81,0.32,,,,,,,
MERCEDES-BENZ,"C-Class Saloon, Model Year 2017",C 220 d with 17'' rear wheels,A7,2143,Diesel,,,,,5.3,3.6,4.3,53.3,78.5,65.7,109,"£1,021",,"£1,021",6,69.0,182,,56,69,1.12,,,,,,,
MERCEDES-BENZ,"C-Class Saloon, Model Year 2017",C 220 d with 18'' rear wheels,M6,2143,Diesel,,,,,5.0,3.6,4.2,56.5,78.5,67.3,110,£997,,£997,6,73.0,278,,62,81,0.32,,,,,,,
MERCEDES-BENZ,"C-Class Saloon, Model Year 2017",C 250 d with 16'' rear wheels,A7,2143,Diesel,,,,,5.3,3.6,4.3,53.3,78.5,65.7,109,"£1,021",,"£1,021",6,69.0,182,,56,69,1.12,,,,,,,
MERCEDES-BENZ,"C-Class Saloon, Model Year 2017",C 250 d with 17'' rear wheels,A7,2143,Diesel,,,,,5.3,3.6,4.3,53.3,78.5,65.7,109,"£1,021",,"£1,021",6,69.0,182,,56,69,1.12,,,,,,,
MERCEDES-BENZ,"C-Class Saloon, Model Year 2018",C 200 d with 16'' rear wheels,M6,1598,Diesel,,,,,4.7,3.5,3.9,60.1,80.7,72.4,101,£927,,£927,6,71.0,446,,68,110,0.44,,,,,,,
MERCEDES-BENZ,"C-Class Saloon, Model Year 2018",C 200 d with 17'' rear wheels,M6,1598,Diesel,,,,,4.7,3.5,3.9,60.1,80.7,72.4,101,£927,,£927,6,71.0,446,,68,110,0.44,,,,,,,
MERCEDES-BENZ,"C-Class Saloon, Model Year 2018",C 200 d with 18'' rear wheels,M6,1598,Diesel,,,,,4.8,3.6,4.1,58.9,78.5,68.9,106,£974,,£974,6,71.0,446,,68,110,0.44,,,,,,,
MERCEDES-BENZ,"C-Class Saloon, Model Year 2018",C 200 d with 19'' rear wheels,M6,1598,Diesel,,,,,4.9,3.7,4.2,57.7,76.4,67.3,110,£997,,£997,6,71.0,446,,68,110,0.44,,,,,,,
MERCEDES-BENZ,"C-Class Saloon, Model Year 2018",C 220 d with 16'' rear wheels,M6,2143,Diesel,,,,,4.8,3.4,4.0,58.9,83.1,70.6,103,£950,,£950,6,73.0,278,,62,81,0.32,,,,,,,
MERCEDES-BENZ,"C-Class Saloon, Model Year 2018",C 220 d with 16'' rear wheels,A9,2143,Diesel,,,,,5.4,3.6,4.4,52.3,78.5,64.2,109,"£1,045",,"£1,045",6,71.0,180,,67,79,0.44,,,,,,,
MERCEDES-BENZ,"C-Class Saloon, Model Year 2018",C 220 d with 17'' rear wheels,M6,2143,Diesel,,,,,4.8,3.4,4.0,58.9,83.1,70.6,103,£950,,£950,6,73.0,278,,62,81,0.32,,,,,,,
MERCEDES-BENZ,"C-Class Saloon, Model Year 2018",C 220 d with 18'' rear wheels,M6,2143,Diesel,,,,,5.0,3.6,4.2,56.5,78.5,67.3,110,£997,,£997,6,73.0,278,,62,81,0.32,,,,,,,
MERCEDES-BENZ,"CLA Coupé, Model Year 2017",CLA 200 d with 18'' rear wheels,A7,2143,Diesel,,,,,4.9,3.6,4.0,57.7,78.5,70.6,105,£950,,£950,6,73.0,158,,65,86,1.16,,,,,,,
MERCEDES-BENZ,"CLA Coupé, Model Year 2017",CLA 200 d with 18'' rear wheels,M6,2143,Diesel,,,,,5.4,3.5,4.2,52.3,80.7,67.3,109,£997,,£997,6,71.0,266,,50,88,0.30,,,,,,,
MERCEDES-BENZ,"CLA Coupé, Model Year 2017",CLA 220 d with 18'' rear wheels,A7,2143,Diesel,,,,,4.9,3.6,4.1,57.7,78.5,68.9,106,£974,,£974,6,73.0,158,,65,86,1.16,,,,,,,
MERCEDES-BENZ,"CLA Coupé, Model Year 2018",CLA 200 d with 18'' rear wheels,A7,2143,Diesel,,,,,4.9,3.6,4.0,57.7,78.5,70.6,105,£950,,£950,6,73.0,158,,65,86,1.16,,,,,,,
MERCEDES-BENZ,"CLA Coupé, Model Year 2018",CLA 200 d with 18'' rear wheels,M6,2143,Diesel,,,,,5.4,3.5,4.2,52.3,80.7,67.3,109,£997,,£997,6,71.0,266,,50,88,0.30,,,,,,,
MERCEDES-BENZ,"CLA Coupé, Model Year 2018",CLA 220 d with 18'' rear wheels,A7,2143,Diesel,,,,,4.9,3.6,4.1,57.7,78.5,68.9,106,£974,,£974,6,73.0,158,,65,86,1.16,,,,,,,
MERCEDES-BENZ,"CLA Shooting Brake, Model Year 2017",CLA 200 d with 18'' rear wheels,A7,2143,Diesel,,,,,4.8,3.6,4.1,58.9,78.5,68.9,106,£974,,£974,6,73.0,158,,65,86,1.16,,,,,,,
MERCEDES-BENZ,"CLA Shooting Brake, Model Year 2017",CLA 220 d with 18'' rear wheels,A7,2143,Diesel,,,,,4.9,3.8,4.2,57.7,74.3,67.3,108,£997,,£997,6,73.0,158,,65,86,1.16,,,,,,,
MERCEDES-BENZ,"CLA Shooting Brake, Model Year 2018",CLA 200 d with 18'' rear wheels,A7,2143,Diesel,,,,,4.8,3.6,4.1,58.9,78.5,68.9,106,£974,,£974,6,73.0,158,,65,86,1.16,,,,,,,
MERCEDES-BENZ,"CLA Shooting Brake, Model Year 2018",CLA 220 d with 18'' rear wheels,A7,2143,Diesel,,,,,4.9,3.8,4.2,57.7,74.3,67.3,108,£997,,£997,6,73.0,158,,65,86,1.16,,,,,,,
MERCEDES-BENZ,"E-Class Estate, Model Year 2017",E 200 d with 17'' rear wheels,A9,1950,Diesel,,,,,4.5,3.9,4.2,62.8,72.4,67.3,109,£997,,£997,6,72.0,94,,56,67,0.42,,,,,,,
MERCEDES-BENZ,"E-Class Estate, Model Year 2017",E 220 d with 17'' rear wheels,A9,1950,Diesel,,,,,4.5,3.9,4.2,62.8,72.4,67.3,109,£997,,£997,6,72.0,94,,56,67,0.42,,,,,,,
MERCEDES-BENZ,"E-Class Saloon, Model Year 2017",E 200 d with 17'' rear wheels,A9,1950,Diesel,,,,,4.3,3.6,3.9,65.7,78.5,72.4,102,£927,,£927,6,72.0,94,,56,67,0.42,,,,,,,
MERCEDES-BENZ,"E-Class Saloon, Model Year 2017",E 200 d with 18'' rear wheels,A9,1950,Diesel,,,,,4.5,3.8,4.0,62.8,74.3,70.6,105,£950,,£950,6,72.0,94,,56,67,0.42,,,,,,,
MERCEDES-BENZ,"E-Class Saloon, Model Year 2017",E 220 d with 17'' rear wheels,A9,1950,Diesel,,,,,4.3,3.6,3.9,65.7,78.5,72.4,102,£927,,£927,6,69.0,94,,56,67,0.42,,,,,,,
MERCEDES-BENZ,"E-Class Saloon, Model Year 2017",E 220 d with 18'' rear wheels,A9,1950,Diesel,,,,,4.5,3.8,4.0,62.8,74.3,70.6,105,£950,,£950,6,69.0,94,,56,67,0.42,,,,,,,
MERCEDES-BENZ,"GLA Class, Model Year 2017",GLA 200 d with 17'' rear wheels,A7,2143,Diesel,,,,,5.0,3.7,4.2,56.5,76.4,67.3,108,£997,,£997,6,72.0,297,,56,85,0.91,,,,,,,
MERCEDES-BENZ,"GLA Class, Model Year 2017",GLA 200 d with 17'' rear wheels,M6,2143,Diesel,,,,,5.4,3.5,4.2,52.3,80.7,67.3,110,£997,,£997,6,71.0,362,,49,91,0.72,,,,,,,
MERCEDES-BENZ,"GLA Class, Model Year 2017",GLA 200 d with 18'' rear wheels,A7,2143,Diesel,,,,,5.0,3.7,4.2,56.5,76.4,67.3,108,£997,,£997,6,72.0,297,,56,85,0.91,,,,,,,
MERCEDES-BENZ,"GLA Class, Model Year 2017",GLA 200 d with 18'' rear wheels,M6,2143,Diesel,,,,,5.4,3.5,4.2,52.3,80.7,67.3,110,£997,,£997,6,71.0,362,,49,91,0.72,,,,,,,
MERCEDES-BENZ,"GLA Class, Model Year 2018",GLA 200 d with 17'' rear wheels,A7,2143,Diesel,,,,,5.0,3.7,4.2,56.5,76.4,67.3,108,£997,,£997,6,72.0,297,,56,85,0.91,,,,,,,
MERCEDES-BENZ,"GLA Class, Model Year 2018",GLA 200 d with 17'' rear wheels,M6,2143,Diesel,,,,,5.4,3.5,4.2,52.3,80.7,67.3,110,£997,,£997,6,71.0,362,,49,91,0.72,,,,,,,
MERCEDES-BENZ,"GLA Class, Model Year 2018",GLA 200 d with 18'' rear wheels,A7,2143,Diesel,,,,,5.0,3.7,4.2,56.5,76.4,67.3,108,£997,,£997,6,72.0,297,,56,85,0.91,,,,,,,
MERCEDES-BENZ,"GLA Class, Model Year 2018",GLA 200 d with 18'' rear wheels,M6,2143,Diesel,,,,,5.4,3.5,4.2,52.3,80.7,67.3,110,£997,,£997,6,71.0,362,,49,91,0.72,,,,,,,
MINI,"3-door Hatchback F56, From March 2014",MINI Cooper SD - 16'' tyres,A6,1995,Diesel,,,,,4.6,3.6,4.0,61.4,78.5,70.6,104,£950,,£950,6,70.0,255,,51,61,0.80,,,,,,,
MINI,"3-door Hatchback F56, From March 2014",MINI Cooper SD - 16'' tyres,M6,1995,Diesel,,,,,4.9,3.6,4.0,57.6,78.5,70.6,106,£950,,£950,6,72.0,388,,57,81,0.10,,,,,,,
MINI,"3-door Hatchback F56, From March 2014",MINI Cooper SD - 17'' & 18'' tyres,A6,1995,Diesel,,,,,4.7,3.7,4.1,60.1,76.3,68.9,107,£974,,£974,6,70.0,255,,51,61,0.80,,,,,,,
MINI,"3-door Hatchback F56, From March 2014",MINI Cooper SD - 17'' & 18'' tyres,M6,1995,Diesel,,,,,5.0,3.7,4.1,56.5,76.3,68.9,109,£974,,£974,6,72.0,388,,57,81,0.10,,,,,,,
MINI,"5-door Hatchback F55, From October 2014",MINI Cooper D - 17'' & 18'' tyres,A6,1496,Diesel,,,,,4.4,3.6,3.9,64.2,78.5,72.4,102,£927,,£927,6,70.0,157,,49,111,0.40,,,,,,,
MINI,"5-door Hatchback F55, From October 2014",MINI Cooper SD - 16'' tyres,A6,1995,Diesel,,,,,4.7,3.7,4.1,60.1,76.3,68.9,107,£974,,£974,6,70.0,255,,51,61,0.80,,,,,,,
MINI,"5-door Hatchback F55, From October 2014",MINI Cooper SD - 16'' tyres,M6,1995,Diesel,,,,,5.0,3.6,4.1,56.5,78.5,68.9,109,£974,,£974,6,72.0,388,,57,81,0.10,,,,,,,
MINI,"5-door Hatchback F55, From October 2014",MINI Cooper SD - 17'' & 18'' tyres,A6,1995,Diesel,,,,,4.8,3.8,4.2,58.9,74.3,67.3,109,£997,,£997,6,70.0,255,,51,61,0.80,,,,,,,
